Region,P_Code,Sector,Activity_Type,Organisation,Activity_Description,Start_Date,End_Date,Comments
#region,#region_id,#sector,#activity_type,#org,#x_activity,#from_date,#to_date,
Conakry,GIN002001,Coordination,Appui à  la coordination préfectorale,IOM,,,,
Siguiri,GIN004005,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),OMS,Vélos pour AC,,,
Conakry,GIN002001,Surveillance & suivi,Aquisition de matériel,ACF,Carburant ,,,
Conakry,GIN002001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),ACF,Credit mensuel de Communication pour AC,,,
Conakry,GIN002001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,ACF,Carburant ssupervision de district ,12/1/2014,,
Coyah,GIN005001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),ACF,,,1/1/2015,
Coyah,GIN005001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,ACF,Carburant ssupervision de district ,1/1/2015,1/1/2015,
Dalaba,GIN007001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),ACF,Credit mensuel de Communication pour AC,1/12/2014,,
Dalaba,GIN007001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),ACF,Formation pour AC,,,
Dalaba,GIN007001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,ACF,Carburant ssupervision de district ,1/12/2015,,
Forecariah,GIN005003,Coordination,Appui à  la coordination préfectorale,ACF,,,,
Forecariah,GIN005003,Surveillance & suivi, Surveillance transfrontalière,ACF,"Equipement des postes frontièrs (Thermo flash, moto, telephone, boite pharmaceutique, EPI, tente, lit, matelas, kit de lavage des mains)",,,
Forecariah,GIN005003,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),ACF,Credit mensuel de Communication pour AC,,,
Forecariah,GIN005003,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,ACF,Carburant ssupervision de district ,,,
Forecariah,GIN005003,Surveillance & suivi,Superviseurs de proximité,ACF,,,,
Labé,GIN006002,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),ACF,Credit mensuel de Communication pour AC,,,
Labé,GIN006002,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,ACF,Credit mensuel de Communication (flotte),,,
Lelouma,GIN006003,Coordination,Appui à  la coordination préfectorale,ACF,,,,
Pita,GIN007003,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),ACF,,,,
Pita,GIN007003,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,ACF,Carburant ssupervision de district ,,,
Nzérékoré,GIN008004,Prise en charge,Laboratoire PCR (Polymérase Chain Reaction),ALIMA,Equipement,,,
Nzérékoré,GIN008004,Prise en charge,Laboratoire PCR (Polymérase Chain Reaction),Belgique,Equipement,,,
Beyla,GIN008001,Coordination,Appui à  la coordination préfectorale,CDC,,,,
Beyla,GIN008001,Coordination,Soutien financier et/ou materiel et/ou ressource humaine,CDC,,,,
Beyla,GIN008001,Gestion des données,Gestion des données,CDC,,,12/31/2014,
Beyla,GIN008001,Gestion des données,Suivi et évaluation,CDC,,,,
Beyla,GIN008001,Prise en charge,Prévention et contrôle des infections,CDC,Formation et manuel de procédure  pour controler l'infection et pour les mesures à prendre en face d'un cas suspect. ,,,
Beyla,GIN008001,Surveillance & suivi,Aquisition de matériel,CDC,Carburant ,,,
Beyla,GIN008001,Surveillance & suivi,Contribution au paiement des salaires,CDC,Investigateurs et épistémologues internationaux,,,
Beyla,GIN008001,Surveillance & suivi,Gestion des données,CDC,Responsables prefectoraux de la gestion des données ,,,
Beyla,GIN008001,Surveillance & suivi,Soutien au personnel local de la riposte (Agent Communautaire),CDC,Credit mensuel de Communication pour AC,,,
Beyla,GIN008001,Surveillance & suivi,Soutien financier et/ou materiel et/ou ressource humaine,CDC,Carburant ssupervision de district ,,,
