find,replace
BOFFA,Boffa
boke,Boké
Boke,Boké
boké,Boké
BOKé,Boké
conakry,Conakry
CONakry,Conakry
coyah,Coyah
dalaba,Dalaba
DALaba,Dalaba
DINGUIRAYE,Dinguiraye
dubreka,Dubréka
dubréka,Dubréka
FARanah,Faranah
forecariah,Forecariah
fria,Fria
gaoual,Gaoual
gueckedou,Guéckédou
guéckédou,Guéckédou
Gueckedou,Guéckédou
kankan,Kankan
kerouane,Kérouané
Kérouané,Kérouané
koubia,Koubia
KOUBia,Koubia
KOUBIA,Koubia
koundara,Koundara
kissidougou,Kissidougou
Labe,Labé
labe,Labé
lelouma,Lelouma
lola,Lola
macenta,Macenta
MACEnta,Macenta
mali,Mali
MALI,Mali
mamou,Mamou
MAMOU,Mamou
"N'ZEREKORE","N'zérékoré"
"NZEREKORE","N'zérékoré"
"Nzerekore","N'zérékoré"
"N'zerekore","N'zérékoré"
"Nzérékoré","N'zérékoré"
"pita","Pita"
"PITA","Pita"
"siguiri","Siguiri"
"TELIMILE","Télimélé"
"tougue","Tougue"
"yomou","Yomou"
