Region,P_Code,Sector,Activity_Type,Organisation,Activity_Description,Start_Date,End_Date,Comments
#region,#region_id,#sector,#activity_type,#org,#x_activity,#from_date,#to_date,
National,GIN,Communications,Campagne médiatique,UNFPA,"Partenariat avec la RTG et 3 radios privées (Soleil FM, Nostagie FM et Renaissance FM): émission interactives BCC, en français et en 6 langues nationales ( en partenariat avec les communicateurs traditionnels);",2014-12-31,,
National,GIN,Communications,Campagne médiatique,CRG/FICR,"partenariat avec la RTG ,radios privées et Télévisons privées (Soleil FM, Nostagie FM, Renaissance FM, TV & Radio Evasion, TV & Radio Espace ): émission radio et TV interactives en 6 langues nationales                                 *Production d’affiches publicitaires, murales  sur la prévention contre Ebola et les mesures d'hygiène                                     *Formation et atelier média avec les entreprises de média nationales, dans le but de discuter des activités de prévention contre la Fievre hemolagique Ebola et leurs diffusion",,,
Beyla,GIN008001,Communications,Campagne médiatique,PNUD,,2014-10-30,2014-12-31,
Beyla,GIN008001,Communications,Campagne médiatique,Internews,En collaboration avec la radio rurale de Beyla,,,
Beyla,GIN008001,Communications,Campagne médiatique,USAID/Save the Children,,,,
Beyla,GIN008001,Communications,Campagne médiatique,CRG/FICR,* Emissions interactives en partenariat avec la radio rurale de Beyla              * Production et diffusion des théatres radio phoniques  *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Boffa,GIN001001,Communications,Campagne médiatique,PNUD,"Publication dans les médias (émissions radios, télé, presse écrite, presse en ligne etc.) (9)",2014-12-20,2015-06-20,
Boké,GIN001002,Communications,Campagne médiatique,PNUD,"Publication dans les médias (émissions radios, télé, presse écrite, presse en ligne etc.) (9)",2014-12-20,2015-06-20,
Boké,GIN001002,Communications,Campagne médiatique,Internews,En collaboration avec la radio rurale de Boké;,,,
Boké,GIN001002,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Boke                          * Production et diffusion des théatres radio phoniques *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Conakry,GIN002001,Communications,Campagne médiatique,PNUD,Specialiste en engagement communautaire,2014-12-20,2015-06-20,
Conakry,GIN002001,Communications,Campagne médiatique,Internews,En collaboration avec Nostalgie FM et Soleil FM,,,
Conakry,GIN002001,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé) ;",,2014-12-31,
Conakry,GIN002001,Communications,Campagne médiatique,CRG/FICR,Production et diffusion des théatres radio phoniques  *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Coyah,GIN005001,Communications,Campagne médiatique,PNUD,,,,
Coyah,GIN005001,Communications,Campagne médiatique,Internews,En collaboration avec Bambou FM,,,
Coyah,GIN005001,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",,,
Coyah,GIN005001,Communications,Campagne médiatique,CRG/FICR,,,,
Dalaba,GIN007001,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Dubréka,GIN005002,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Dubréka,GIN005002,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Dubréka                * Production et diffusion des théatres radio phoniques  *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Faranah,GIN003003,Communications,Campagne médiatique,UNFPA,,,2014-12-31,
Faranah,GIN003003,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Faranah                * Production et diffusion des théatres radio phoniques   *Production et diffustion des spots radio,2014-12-15,2015-06-15,
Forecariah,GIN005003,Communications,Campagne médiatique,PNUD,,2014-12-20,2015-06-20,
Forecariah,GIN005003,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",,2015-05-31,
Forecariah,GIN005003,Communications,Campagne médiatique,CRG/FICR,Emissions interactives en partenariat avec la radio rurale de Forecariah * Production et diffusion des théatres radio phoniques,2014-12-15,2015-06-15,
Gaoual,GIN001003,Communications,Campagne médiatique,Internews,En collaboration avec la radio Voix de Fria,2014-12-15,2015-06-15,
Guéckédou,GIN008002,Communications,Campagne médiatique,PNUD,,2014-10-30,2014-12-31,
Guéckédou,GIN008002,Communications,Campagne médiatique,UNFPA,"Panneaux et affiches d'IEC (thématique prévention, femmes enceintes, adolescentes, jeunes et agents de santé)",,2014-12-31,
Guéckédou,GIN008002,Communications,Campagne médiatique,CRG/FICR,*Emissions interactives en partenariat avec la radio rurale de Guéckédou               *Production et diffusion des théatres radio phoniques     *Production et diffustion des spots radio,2014-12-15,2015-06-15,
